Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
"The mind is a machine for jumping to conclusions, and it is very good at building a coherent story out of far too little evidence.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"This is the whole book in one line.",yellow,"heuristics",location,412,2024-01-04T09:12:00Z,psychology
"System 1 runs automatically and System 2 is normally in a comfortable low-effort mode, in which only a fraction of its capacity is engaged.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,431,2024-01-04T09:20:00Z,psychology
"A reliable way to make people believe in falsehoods is frequent repetition, because familiarity is not easily distinguished from truth.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"Relevant to how I read the news.",blue,"media",location,502,2024-01-05T07:44:00Z,psychology
"Nothing in life is as important as you think it is while you are thinking about it.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,4211,2024-01-19T21:02:00Z,psychology
"We are prone to overestimate how much we understand about the world and to underestimate the role of chance in events.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,"luck",location,2117,2024-01-11T08:31:00Z,psychology
"The illusion that we understand the past fosters overconfidence in our ability to predict the future.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"Every post-mortem I have ever sat in.",orange,"work",location,2203,2024-01-11T08:39:00Z,psychology
"Intuition is nothing more and nothing less than recognition.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,1789,2024-01-09T22:15:00Z,psychology
"Skilled intuition develops only in an environment that is sufficiently regular to be predictable, and only with enough practice to learn its regularities.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"So expertise is a property of the environment, not just the person.",orange,"expertise",location,1801,2024-01-09T22:22:00Z,psychology
"An availability cascade is a self-sustaining chain of events which may start from media reports of a relatively minor event.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,1402,2024-01-08T19:03:00Z,psychology
"The confidence people have in their beliefs is not a measure of the quality of evidence but of the coherence of the story the mind has managed to construct.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"Coherence is not evidence. Write this above the desk.",blue,"evidence",location,3011,2024-01-14T06:58:00Z,psychology
"Losses loom larger than gains, and the asymmetry between them is roughly two to one.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,"loss aversion",location,3320,2024-01-15T20:11:00Z,psychology
"The brains of humans contain a mechanism that is designed to give priority to bad news.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,3298,2024-01-15T20:04:00Z,psychology
"Odd as it may seem, I am my remembering self, and the experiencing self who does my living is like a stranger to me.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"The two selves chapter changed how I plan holidays.",orange,"memory",location,5602,2024-01-22T07:30:00Z,psychology
"A story is about significant events and memorable moments, not about time passing.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,"memory",location,5511,2024-01-22T07:19:00Z,psychology
"When faced with a difficult question we often answer an easier one instead, usually without noticing the substitution.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"Substitution. The single most useful idea here.",blue,"heuristics",location,1180,2024-01-07T18:45:00Z,psychology
"Declarations of high confidence mainly tell you that an individual has constructed a coherent story in his mind, not necessarily that the story is true.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,3044,2024-01-14T07:10:00Z,psychology
"The premortem is a useful exercise: imagine the plan has failed a year from now, and write the history of that disaster.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,"Try this at the next planning meeting.",orange,"work",location,4602,2024-01-20T09:05:00Z,psychology
"Algorithms outperform humans in noisy environments for a simple reason: humans are inconsistent in making summary judgments of complex information.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,1655,2024-01-09T20:40:00Z,psychology
"Regression to the mean is a fact of life, and the mind is not built to expect it.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,"statistics",location,2402,2024-01-12T21:48:00Z,psychology
"Because adherence to standards is difficult to assess, we substitute the ease with which examples come to mind.","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,1290,2024-01-08T06:22:00Z,psychology
"…“The mind is a machine for jumping to conclusions,  and it is very good at building a coherent story out of far too little evidence.”","Thinking, Fast and Slow","Daniel Kahneman",B00555X8OA,,yellow,,location,412,2024-02-02T11:00:00Z,psychology
"Design is really an act of communication, which means having a deep understanding of the person with whom the designer is communicating.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"design",page,12,2024-03-02T08:00:00Z,design
"Two of the most important characteristics of good design are discoverability and understanding.","The Design of Everyday Things","Don Norman",B00E257T6C,"Discoverability first. Everything else is downstream.",blue,"design",page,3,2024-03-02T07:52:00Z,design
"When a device as simple as a door has to come with an instruction manual, even a one-word manual, then it is a failure, poorly designed.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,,page,4,2024-03-02T07:55:00Z,design
"The term affordance refers to the relationship between a physical object and a person. An affordance is a relationship, not a property.","The Design of Everyday Things","Don Norman",B00E257T6C,"I had this wrong for years.",orange,"affordances",page,11,2024-03-02T08:04:00Z,design
"Signifiers signal things, in particular what actions are possible and how they should be done.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"affordances",page,14,2024-03-02T08:10:00Z,design
"Conceptual models are a form of story, resulting from our predisposition to find explanations.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,,page,26,2024-03-03T19:31:00Z,design
"Feedback must be immediate, informative, and planned. Too much of it is as bad as too little.","The Design of Everyday Things","Don Norman",B00E257T6C,"Every notification system I have ever built violated this.",orange,"feedback",page,23,2024-03-03T19:22:00Z,design
"The gulf of evaluation reflects the amount of effort that the person must exert to interpret the physical state of the device.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,,page,38,2024-03-04T20:10:00Z,design
"It is the duty of machines and those who design them to understand people, not the other way around.","The Design of Everyday Things","Don Norman",B00E257T6C,"Quote this at work.",blue,"blame",page,6,2024-03-02T07:58:00Z,design
"When people fail to follow bizarre requirements, they are blamed for the failure. Blaming the person is the wrong response.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"blame",page,62,2024-03-05T21:40:00Z,design
"Human error usually is a result of poor design: it should be called system error.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"blame",page,163,2024-03-08T18:05:00Z,design
"Root cause analysis stops too soon. Keep asking why until you reach a fundamental, underlying cause.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,,page,171,2024-03-08T18:19:00Z,design
"Slips occur when the goal is correct but the action performed is wrong. Mistakes occur when the goal itself is wrong.","The Design of Everyday Things","Don Norman",B00E257T6C,"The taxonomy is the useful part.",orange,"error",page,168,2024-03-08T18:12:00Z,design
"Knowledge in the world acts as its own reminder, but knowledge in the head is efficient once learned.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"memory",page,75,2024-03-06T07:44:00Z,design
"Constraints are powerful clues, limiting the set of possible actions.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"constraints",page,125,2024-03-07T20:02:00Z,design
"Forcing functions are a form of physical constraint: failure at one stage prevents the next step from happening.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"constraints",page,142,2024-03-07T20:15:00Z,design
"Natural mapping takes advantage of physical analogies and cultural standards and leads to immediate understanding.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,"mapping",page,23,2024-03-03T19:18:00Z,design
"Good design is actually a lot harder to notice than poor design, in part because good designs fit our needs so well that the design is invisible.","The Design of Everyday Things","Don Norman",B00E257T6C,,yellow,,page,2,2024-03-02T07:48:00Z,design
"Design solves the wrong problem when it starts with the problem as stated. Solve the fundamental problem instead.","The Design of Everyday Things","Don Norman",B00E257T6C,"The double-diamond argument.",blue,"process",page,218,2024-03-10T09:26:00Z,design
